"No.","Time","Source","Destination","Protocol","Length","Rank","Sequence Number","DODAGID","Info"
"293","1517.586475","","","IEEE 802.15.4","5","","65","","Ack"
"294","1542.837752","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","408","27","","RPL Control (DODAG Information Object)"
"295","1542.838188","","","IEEE 802.15.4","5","","27","","Ack"
"296","1551.508349","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","297","133","","RPL Control (DODAG Information Object)"
"297","1551.508773","","","IEEE 802.15.4","5","","133","","Ack"
"298","1585.471746","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","405","28","","RPL Control (DODAG Information Object)"
"299","1585.472189","","","IEEE 802.15.4","5","","28","","Ack"
"300","1587.075913","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","264","66","","RPL Control (DODAG Information Object)"
"301","1587.076443","","","IEEE 802.15.4","5","","66","","Ack"
"302","1615.397843","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","263","67","","RPL Control (DODAG Information Object)"
"303","1623.543182","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","142","","RPL Control (DODAG Information Object)"
"304","1625.268544","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","292","134","","RPL Control (DODAG Information Object)"
"305","1625.269027","","","IEEE 802.15.4","5","","134","","Ack"
"306","1625.523540","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","405","29","","RPL Control (DODAG Information Object)"
"307","1625.523948","","","IEEE 802.15.4","5","","29","","Ack"
"308","1626.483810","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","68","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"309","1626.484287","","","IEEE 802.15.4","5","","68","","Ack"
"310","1627.548502","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","135","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"311","1627.548638","","","IEEE 802.15.4","5","","135","","Ack"
"312","1636.310592","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","261","69","","RPL Control (DODAG Information Object)"
"313","1636.311024","","","IEEE 802.15.4","5","","69","","Ack"
"314","1641.724776","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","76","","30","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"315","1641.725185","","","IEEE 802.15.4","5","","30","","Ack"
"316","1641.754998","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","70","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"317","1641.755413","","","IEEE 802.15.4","5","","70","","Ack"
"318","1667.646643","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","405","31","","RPL Control (DODAG Information Object)"
"319","1667.647118","","","IEEE 802.15.4","5","","31","","Ack"
"320","1669.461503","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","288","136","","RPL Control (DODAG Information Object)"
"321","1681.237773","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","288","137","","RPL Control (DODAG Information Object)"
"322","1681.238217","","","IEEE 802.15.4","5","","137","","Ack"
"323","1701.849741","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","263","71","","RPL Control (DODAG Information Object)"
"324","1701.850179","","","IEEE 802.15.4","5","","71","","Ack"
"325","1706.379520","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","405","32","","RPL Control (DODAG Information Object)"
"326","1726.375913","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","405","33","","RPL Control (DODAG Information Object)"
"327","1726.376199","","","IEEE 802.15.4","5","","33","","Ack"
"328","1745.667354","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","288","138","","RPL Control (DODAG Information Object)"
