"No.","Time","Source","Destination","Protocol","Length","Rank","Sequence Number","Info"
"171","413.292437","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","514","27","RPL Control (DODAG Information Object)"
"172","414.612575","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","285","139","RPL Control (DODAG Information Object)"
"173","414.957322","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","140","RPL Control (Destination Advertisement Object)"
"175","420.297363","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","28","RPL Control (Destination Advertisement Object)"
"177","420.298047","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","141","RPL Control (Destination Advertisement Object)"
"179","431.623213","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","279","142","RPL Control (DODAG Information Object)"
"181","438.718360","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","279","143","RPL Control (DODAG Information Object)"
"182","448.693912","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","494","29","RPL Control (DODAG Information Object)"
"184","448.738975","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","22","RPL Control (DODAG Information Object)"
"185","449.143871","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","494","30","RPL Control (DODAG Information Object)"
"186","451.604048","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","144","RPL Control (Destination Advertisement Object)"
"188","486.390050","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","27","","73","RPL Control (DODAG Information Solicitation)"
"189","489.075446","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","23","RPL Control (DODAG Information Object)"
"190","489.915617","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","276","145","RPL Control (DODAG Information Object)"
"191","490.455323","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","482","31","RPL Control (DODAG Information Object)"
"193","492.900561","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","512","74","RPL Control (DODAG Information Object)"
"194","493.185537","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","512","75","RPL Control (DODAG Information Object)"
"196","493.455661","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","76","RPL Control (Destination Advertisement Object)"
"198","494.955918","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","274","147","RPL Control (DODAG Information Object)"
"199","495.830285","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","32","RPL Control (Destination Advertisement Object)"
"201","495.830903","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","480","33","RPL Control (DODAG Information Object)"
"202","495.855804","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","148","RPL Control (Destination Advertisement Object)"
"204","496.725976","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","24","RPL Control (DODAG Information Object)"
"205","497.865693","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","400","77","RPL Control (DODAG Information Object)"
"206","499.020614","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","149","RPL Control (Destination Advertisement Object)"
"208","500.340946","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","400","78","RPL Control (DODAG Information Object)"
"210","500.851204","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","79","RPL Control (Destination Advertisement Object)"
"212","504.195789","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","353","80","RPL Control (DODAG Information Object)"
"213","504.195908","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","353","80","RPL Control (DODAG Information Object)"
"215","508.871345","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","472","34","RPL Control (DODAG Information Object)"
"216","509.246422","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","270","150","RPL Control (DODAG Information Object)"
"217","510.476494","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","270","151","RPL Control (DODAG Information Object)"
"219","513.401646","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","25","RPL Control (DODAG Information Object)"
"220","513.476572","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","35","RPL Control (Destination Advertisement Object)"
"222","513.521482","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","152","RPL Control (Destination Advertisement Object)"
"224","514.196659","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","353","81","RPL Control (DODAG Information Object)"
"225","516.296702","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","153","RPL Control (Destination Advertisement Object)"
"226","519.236844","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","82","RPL Control (Destination Advertisement Object)"
"228","532.377219","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","461","37","RPL Control (DODAG Information Object)"
"229","534.237554","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","26","RPL Control (DODAG Information Object)"
"230","534.882143","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","343","83","RPL Control (DODAG Information Object)"
"231","538.062658","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","154","RPL Control (Destination Advertisement Object)"
"233","538.437687","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","266","155","RPL Control (DODAG Information Object)"
"234","538.692652","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","84","RPL Control (Destination Advertisement Object)"
"236","540.522603","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","38","RPL Control (Destination Advertisement Object)"
"238","540.567738","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","156","RPL Control (Destination Advertisement Object)"
"240","581.279402","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","264","157","RPL Control (DODAG Information Object)"
"242","585.674551","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","334","85","RPL Control (DODAG Information Object)"
"244","600.300223","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","27","RPL Control (DODAG Information Object)"
"245","603.090193","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","86","RPL Control (Destination Advertisement Object)"
"247","604.395219","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","264","158","RPL Control (DODAG Information Object)"
"248","606.795432","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","448","39","RPL Control (DODAG Information Object)"
"250","607.410214","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","326","87","RPL Control (DODAG Information Object)"
"251","612.345665","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","448","40","RPL Control (DODAG Information Object)"
"252","639.841843","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","264","159","RPL Control (DODAG Information Object)"
"254","646.396936","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","448","41","RPL Control (DODAG Information Object)"
"256","654.542152","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","326","88","RPL Control (DODAG Information Object)"
"258","682.128504","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","442","42","RPL Control (DODAG Information Object)"
"260","688.983421","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","28","RPL Control (DODAG Information Object)"
"261","692.988458","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","326","89","RPL Control (DODAG Information Object)"
"263","702.514160","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","264","160","RPL Control (DODAG Information Object)"
"264","715.114951","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","264","161","RPL Control (DODAG Information Object)"
"266","729.305400","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","442","43","RPL Control (DODAG Information Object)"
"267","732.815197","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","326","90","RPL Control (DODAG Information Object)"
"269","741.276002","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","319","91","RPL Control (DODAG Information Object)"
"270","744.726126","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","442","44","RPL Control (DODAG Information Object)"
"273","797.423342","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","437","45","RPL Control (DODAG Information Object)"
"275","804.668164","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","263","162","RPL Control (DODAG Information Object)"
"277","836.829695","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","436","46","RPL Control (DODAG Information Object)"
"279","839.244594","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","133","93","RPL Control (DODAG Information Object)"
"281","861.925551","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","263","163","RPL Control (DODAG Information Object)"
"283","887.291981","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","94","RPL Control (DODAG Information Object)"
"285","895.332200","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","29","RPL Control (DODAG Information Object)"
"286","899.832410","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","95","RPL Control (Destination Advertisement Object)"
"288","900.117691","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","164","RPL Control (Destination Advertisement Object)"
"290","905.367874","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","431","47","RPL Control (DODAG Information Object)"
"292","914.908169","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","262","165","RPL Control (DODAG Information Object)"
"294","917.987754","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","48","RPL Control (Destination Advertisement Object)"
